name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
우산 (feat. 윤하),Epik High,45,0.7440000000000001,0.71,6.0,-5.939,1.0,0.0279,0.39299999999999996,0.0,0.488,0.34600000000000003,113.00299999999999,301720.0,2008
Drawing Our Moments,TAEYEON,46,0.457,0.617,9.0,-2.148,1.0,0.0278,0.578,0.0,0.07200000000000001,0.336,155.936,273293.0,2020
Dear Name,IU,58,0.312,0.589,2.0,-5.071000000000001,1.0,0.0334,0.45899999999999996,0.0,0.106,0.237,133.85399999999998,289580.0,2017
Still love you,LEE HONG GI,49,0.48200000000000004,0.513,4.0,-5.187,1.0,0.0313,0.534,0.0,0.115,0.121,133.925,258132.0,2018
Help,10cm,45,0.41200000000000003,0.402,0.0,-4.678,1.0,0.0295,0.608,0.0,0.10300000000000001,0.36700000000000005,144.89700000000002,289990.0,2017
U,BAEKHYUN,60,0.301,0.462,6.0,-8.55,1.0,0.036000000000000004,0.8340000000000001,1.75e-05,0.122,0.13699999999999998,136.095,224467.0,2021
"I'm into you, I mean Love you",Jinyoung,31,0.479,0.583,7.0,-5.084,1.0,0.0427,0.754,0.0,0.114,0.519,79.183,244987.0,2021
Winter of May,Kim Bum Soo,43,0.561,0.257,0.0,-7.5520000000000005,0.0,0.037000000000000005,0.8859999999999999,1.07e-06,0.125,0.275,127.28299999999999,266440.0,2021
Je T'aime,JOY,59,0.574,0.594,2.0,-3.911,1.0,0.0295,0.601,0.0,0.0676,0.35200000000000004,110.917,261120.0,2021
Words I Want To Say To You,Yoo Hae Jun,32,0.516,0.231,2.0,-8.549,1.0,0.0395,0.872,0.0,0.124,0.35,133.477,225987.0,2021
"Meet Me When The Sun Goes Down (From ""Midnight Sun"" Original Musical Soundtrack, Pt. 4)",ONEW,39,0.387,0.319,3.0,-10.635,1.0,0.0334,0.586,0.0,0.122,0.14800000000000002,141.597,205422.0,2021
Burned All Black,KIM JAE HWAN,34,0.38299999999999995,0.36200000000000004,8.0,-6.4510000000000005,1.0,0.0294,0.74,0.0,0.107,0.217,137.96200000000002,232063.0,2021
Love On The Beach,Paul Kim,39,0.462,0.33399999999999996,4.0,-10.324000000000002,1.0,0.0438,0.7929999999999999,1.19e-06,0.0881,0.126,133.93200000000002,204800.0,2021
"We, From The First",Jung Seung Hwan,41,0.382,0.434,0.0,-5.724,1.0,0.0335,0.8029999999999999,0.0,0.0994,0.256,134.703,257813.0,2021
DOOR (Your Moon),JEONG SEWOON,47,0.47,0.386,1.0,-7.69,1.0,0.0344,0.516,0.0,0.122,0.271,120.874,228267.0,2021
Where the stars rised (Bunny and Guys X Yang Da Il),Yang Da Il,31,0.494,0.5379999999999999,8.0,-5.18,1.0,0.0298,0.499,0.0,0.136,0.294,125.68700000000001,236720.0,2021
If I could tell you,TAEMIN,60,0.685,0.753,8.0,-5.729,1.0,0.0696,0.713,0.0017800000000000001,0.135,0.632,169.882,197587.0,2021
The Walking Dead (Feat. Kim Feel),HEIZE,52,0.38299999999999995,0.588,2.0,-6.0489999999999995,1.0,0.0376,0.667,6e-06,0.113,0.365,82.84299999999999,193280.0,2021
everything is you (feat. zitten),Sweden Laundry,25,0.527,0.574,10.0,-4.543,0.0,0.0299,0.158,1.4e-06,0.29100000000000004,0.402,139.995,236747.0,2021
