danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.759,0.66,6,-5.695,1,0.0408,0.514,0.0,0.0957,0.425,111.988,audio_features,1JhztOTG8OBOrC6myRrnZs,spotify:track:1JhztOTG8OBOrC6myRrnZs,https://api.spotify.com/v1/tracks/1JhztOTG8OBOrC6myRrnZs,https://api.spotify.com/v1/audio-analysis/1JhztOTG8OBOrC6myRrnZs,250807,4
0.637,0.545,0,-7.517,0,0.0425,0.0448,0.0,0.213,0.243,119.981,audio_features,4iI2SFBIuzZj0JyUNII5Rr,spotify:track:4iI2SFBIuzZj0JyUNII5Rr,https://api.spotify.com/v1/tracks/4iI2SFBIuzZj0JyUNII5Rr,https://api.spotify.com/v1/audio-analysis/4iI2SFBIuzZj0JyUNII5Rr,302747,4
0.559,0.526,3,-6.183,1,0.0368,0.63,0.0,0.144,0.344,86.91,audio_features,5efB9wfc6dn3pzll9ElIrH,spotify:track:5efB9wfc6dn3pzll9ElIrH,https://api.spotify.com/v1/tracks/5efB9wfc6dn3pzll9ElIrH,https://api.spotify.com/v1/audio-analysis/5efB9wfc6dn3pzll9ElIrH,244451,4
0.465,0.261,0,-7.873,0,0.0336,0.912,5.24e-06,0.112,0.282,103.577,audio_features,5nW5qUV0cL00mxjHeTowif,spotify:track:5nW5qUV0cL00mxjHeTowif,https://api.spotify.com/v1/tracks/5nW5qUV0cL00mxjHeTowif,https://api.spotify.com/v1/audio-analysis/5nW5qUV0cL00mxjHeTowif,224024,4
0.445,0.528,10,-7.243,1,0.0744,0.677,0.0,0.155,0.511,203.155,audio_features,67QGnT1Vdfuuy4HkLTUVjj,spotify:track:67QGnT1Vdfuuy4HkLTUVjj,https://api.spotify.com/v1/tracks/67QGnT1Vdfuuy4HkLTUVjj,https://api.spotify.com/v1/audio-analysis/67QGnT1Vdfuuy4HkLTUVjj,223452,4
0.763,0.47,4,-5.642,0,0.0433,0.533,0.0,0.133,0.801,119.885,audio_features,2QYFbs7kZMe0L4d7soRp06,spotify:track:2QYFbs7kZMe0L4d7soRp06,https://api.spotify.com/v1/tracks/2QYFbs7kZMe0L4d7soRp06,https://api.spotify.com/v1/audio-analysis/2QYFbs7kZMe0L4d7soRp06,199629,4
0.706,0.568,3,-5.823,0,0.0336,0.823,0.0,0.115,0.344,126.059,audio_features,3hXPYyI8Yn9Azt3N0gyBXj,spotify:track:3hXPYyI8Yn9Azt3N0gyBXj,https://api.spotify.com/v1/tracks/3hXPYyI8Yn9Azt3N0gyBXj,https://api.spotify.com/v1/audio-analysis/3hXPYyI8Yn9Azt3N0gyBXj,264640,4
0.464,0.428,9,-8.062,0,0.0339,0.474,0.0,0.366,0.388,129.877,audio_features,7zv91EUPWySxdts1wBB6E4,spotify:track:7zv91EUPWySxdts1wBB6E4,https://api.spotify.com/v1/tracks/7zv91EUPWySxdts1wBB6E4,https://api.spotify.com/v1/audio-analysis/7zv91EUPWySxdts1wBB6E4,231793,4
0.511,0.475,0,-4.492,1,0.036,0.157,0.0,0.131,0.119,139.583,audio_features,73zUXssnT7JWY9dUA2uKiz,spotify:track:73zUXssnT7JWY9dUA2uKiz,https://api.spotify.com/v1/tracks/73zUXssnT7JWY9dUA2uKiz,https://api.spotify.com/v1/audio-analysis/73zUXssnT7JWY9dUA2uKiz,222819,4
0.585,0.568,4,-2.787,1,0.0271,0.23,0.0,0.138,0.391,94.874,audio_features,1sbYF39RmX7liZ1NNM0GTV,spotify:track:1sbYF39RmX7liZ1NNM0GTV,https://api.spotify.com/v1/tracks/1sbYF39RmX7liZ1NNM0GTV,https://api.spotify.com/v1/audio-analysis/1sbYF39RmX7liZ1NNM0GTV,209987,4
0.625,0.45,0,-5.214,1,0.0339,0.823,0.0,0.111,0.262,130.099,audio_features,6jUVEs31BrujBa1n2jnnPU,spotify:track:6jUVEs31BrujBa1n2jnnPU,https://api.spotify.com/v1/tracks/6jUVEs31BrujBa1n2jnnPU,https://api.spotify.com/v1/audio-analysis/6jUVEs31BrujBa1n2jnnPU,219302,4
