danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.817,0.703,7,-5.522,0,0.202,0.0497,0.0,0.143,0.747,148.002,audio_features,3k5gOpoddeopsbfg2pdWJl,spotify:track:3k5gOpoddeopsbfg2pdWJl,https://api.spotify.com/v1/tracks/3k5gOpoddeopsbfg2pdWJl,https://api.spotify.com/v1/audio-analysis/3k5gOpoddeopsbfg2pdWJl,197013,4
0.612,0.279,0,-10.306,1,0.0386,0.778,0.0,0.121,0.345,147.916,audio_features,4KJx4IOvCU2isprmXio9Xk,spotify:track:4KJx4IOvCU2isprmXio9Xk,https://api.spotify.com/v1/tracks/4KJx4IOvCU2isprmXio9Xk,https://api.spotify.com/v1/audio-analysis/4KJx4IOvCU2isprmXio9Xk,261787,4
0.336,0.462,3,-6.522,1,0.035,0.241,0.0,0.288,0.183,118.008,audio_features,7gCQvF3gyLp4gKYb7s0gvq,spotify:track:7gCQvF3gyLp4gKYb7s0gvq,https://api.spotify.com/v1/tracks/7gCQvF3gyLp4gKYb7s0gvq,https://api.spotify.com/v1/audio-analysis/7gCQvF3gyLp4gKYb7s0gvq,262733,4
0.461,0.584,2,-6.724,1,0.0273,0.617,0.0,0.109,0.169,130.927,audio_features,7yWCMzvmYCtZLeapgm1DcD,spotify:track:7yWCMzvmYCtZLeapgm1DcD,https://api.spotify.com/v1/tracks/7yWCMzvmYCtZLeapgm1DcD,https://api.spotify.com/v1/audio-analysis/7yWCMzvmYCtZLeapgm1DcD,256333,4
0.613,0.531,8,-5.69,1,0.0411,0.344,0.0,0.0998,0.192,113.902,audio_features,1GC9WUqSMhV3xcxb7KfLd3,spotify:track:1GC9WUqSMhV3xcxb7KfLd3,https://api.spotify.com/v1/tracks/1GC9WUqSMhV3xcxb7KfLd3,https://api.spotify.com/v1/audio-analysis/1GC9WUqSMhV3xcxb7KfLd3,251351,4
0.637,0.557,9,-6.585,1,0.0314,0.681,0.0,0.102,0.544,143.945,audio_features,0ZJecVwpRY2TKi3j2kkwXR,spotify:track:0ZJecVwpRY2TKi3j2kkwXR,https://api.spotify.com/v1/tracks/0ZJecVwpRY2TKi3j2kkwXR,https://api.spotify.com/v1/audio-analysis/0ZJecVwpRY2TKi3j2kkwXR,248160,4
0.637,0.329,7,-10.366,1,0.0349,0.725,8.51e-06,0.245,0.255,177.792,audio_features,5oZh0gPKEioN2la70JsKHR,spotify:track:5oZh0gPKEioN2la70JsKHR,https://api.spotify.com/v1/tracks/5oZh0gPKEioN2la70JsKHR,https://api.spotify.com/v1/audio-analysis/5oZh0gPKEioN2la70JsKHR,256667,4
0.57,0.887,7,-7.993,0,0.0448,0.0908,3.41e-06,0.197,0.182,94.607,audio_features,24GdX41oaHNze0PiBEMSKL,spotify:track:24GdX41oaHNze0PiBEMSKL,https://api.spotify.com/v1/tracks/24GdX41oaHNze0PiBEMSKL,https://api.spotify.com/v1/audio-analysis/24GdX41oaHNze0PiBEMSKL,256733,4
0.603,0.292,10,-7.622,1,0.0282,0.406,0.0,0.136,0.231,127.905,audio_features,3oLHAdCzsOi0CYtvOXDBmc,spotify:track:3oLHAdCzsOi0CYtvOXDBmc,https://api.spotify.com/v1/tracks/3oLHAdCzsOi0CYtvOXDBmc,https://api.spotify.com/v1/audio-analysis/3oLHAdCzsOi0CYtvOXDBmc,280493,4
0.497,0.49,5,-7.161,1,0.0276,0.671,0.000417,0.155,0.126,122.71,audio_features,4Rt9k4SE8dbfKzngxKJPq9,spotify:track:4Rt9k4SE8dbfKzngxKJPq9,https://api.spotify.com/v1/tracks/4Rt9k4SE8dbfKzngxKJPq9,https://api.spotify.com/v1/audio-analysis/4Rt9k4SE8dbfKzngxKJPq9,236133,4
0.477,0.725,1,-6.677,0,0.0447,0.483,9.02e-05,0.109,0.337,88.956,audio_features,3kriYj6FUKtGWJBdnR7jOi,spotify:track:3kriYj6FUKtGWJBdnR7jOi,https://api.spotify.com/v1/tracks/3kriYj6FUKtGWJBdnR7jOi,https://api.spotify.com/v1/audio-analysis/3kriYj6FUKtGWJBdnR7jOi,274907,4
0.347,0.377,9,-8.274,1,0.029,0.546,0.0,0.0944,0.174,132.232,audio_features,71tWKjZm7R3jyyeDBfCzZg,spotify:track:71tWKjZm7R3jyyeDBfCzZg,https://api.spotify.com/v1/tracks/71tWKjZm7R3jyyeDBfCzZg,https://api.spotify.com/v1/audio-analysis/71tWKjZm7R3jyyeDBfCzZg,292640,4
0.535,0.529,6,-6.796,1,0.0272,0.226,0.0,0.102,0.585,181.684,audio_features,0s4jjt2KLI64rHZyLIT9gr,spotify:track:0s4jjt2KLI64rHZyLIT9gr,https://api.spotify.com/v1/tracks/0s4jjt2KLI64rHZyLIT9gr,https://api.spotify.com/v1/audio-analysis/0s4jjt2KLI64rHZyLIT9gr,166693,4
0.578,0.448,4,-8.639,1,0.0258,0.129,0.0,0.0712,0.169,136.051,audio_features,7abVuumDUhN4xO8uZKHBTN,spotify:track:7abVuumDUhN4xO8uZKHBTN,https://api.spotify.com/v1/tracks/7abVuumDUhN4xO8uZKHBTN,https://api.spotify.com/v1/audio-analysis/7abVuumDUhN4xO8uZKHBTN,276600,4
0.526,0.513,5,-6.982,1,0.0265,0.563,0.0,0.0951,0.255,141.941,audio_features,6xLInOiZPEeqEoLLHlFH8N,spotify:track:6xLInOiZPEeqEoLLHlFH8N,https://api.spotify.com/v1/tracks/6xLInOiZPEeqEoLLHlFH8N,https://api.spotify.com/v1/audio-analysis/6xLInOiZPEeqEoLLHlFH8N,289427,4
0.791,0.68,11,-5.565,0,0.0271,0.557,2.26e-06,0.346,0.681,112.014,audio_features,4pjnn28AE1GvrklrJFWuib,spotify:track:4pjnn28AE1GvrklrJFWuib,https://api.spotify.com/v1/tracks/4pjnn28AE1GvrklrJFWuib,https://api.spotify.com/v1/audio-analysis/4pjnn28AE1GvrklrJFWuib,195880,4
0.686,0.48,9,-7.59,0,0.0241,0.436,0.0,0.0879,0.729,106.908,audio_features,4KBegMBVyHsfC7fPOztTzV,spotify:track:4KBegMBVyHsfC7fPOztTzV,https://api.spotify.com/v1/tracks/4KBegMBVyHsfC7fPOztTzV,https://api.spotify.com/v1/audio-analysis/4KBegMBVyHsfC7fPOztTzV,273960,4
0.767,0.671,5,-9.995,1,0.0317,0.552,3.23e-05,0.201,0.921,135.468,audio_features,1ZLJAU6l2KWQklCJBpeQ6D,spotify:track:1ZLJAU6l2KWQklCJBpeQ6D,https://api.spotify.com/v1/tracks/1ZLJAU6l2KWQklCJBpeQ6D,https://api.spotify.com/v1/audio-analysis/1ZLJAU6l2KWQklCJBpeQ6D,236467,4
0.26,0.385,3,-7.918,1,0.0299,0.463,0.0,0.136,0.139,175.593,audio_features,66JiXkry8h9HHpTZEXlnia,spotify:track:66JiXkry8h9HHpTZEXlnia,https://api.spotify.com/v1/tracks/66JiXkry8h9HHpTZEXlnia,https://api.spotify.com/v1/audio-analysis/66JiXkry8h9HHpTZEXlnia,319040,4
