name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
Em Day Chang Phai Thuy Kieu,Hoang Thuy Linh,47,0.6659999999999999,0.49200000000000005,7,-8.214,0,0.0504,0.6809999999999999,0.00436,0.131,0.6829999999999999,87.99600000000001,214500,2019
Lai Xe Mot Minh (feat. Linh Cao),Da LAB,36,0.737,0.6409999999999999,2,-6.398,0,0.11699999999999999,0.7190000000000001,0.0,0.0785,0.32799999999999996,85.976,226184,2016
Đừng Gọi Anh Là Idol,Đen,42,0.716,0.545,2,-10.319,0,0.275,0.732,0.0,0.0492,0.568,89.95299999999999,261347,2018
Dĩ Vãng Nhạt Nhòa - Remake,Ha Nhi,22,0.7809999999999999,0.40299999999999997,1,-9.687000000000001,0,0.0717,0.40299999999999997,0.0,0.174,0.434,99.95,219336,2020
Em Mây,Hạnh Sino,0,0.534,0.831,2,-8.121,0,0.0368,0.00135,0.7290000000000001,0.21600000000000003,0.0394,127.926,222285,2020
3 1 0 7,W/N,58,0.7929999999999999,0.46299999999999997,11,-7.654,1,0.0589,0.846,4.15e-06,0.184,0.47600000000000003,123.944,232258,2020
Lenlala,W/N,32,0.6579999999999999,0.364,11,-11.671,1,0.07,0.94,0.488,0.091,0.275,84.944,138353,2020
Crush 2 - Double Noize Remix,W/N,25,0.868,0.7390000000000001,4,-5.002,1,0.0428,0.505,0.00011200000000000001,0.0994,0.635,134.033,102008,2019
Crush 2 (C.A.O Remix),W/N,24,0.778,0.66,4,-6.039,1,0.0376,0.335,0.0016899999999999999,0.109,0.7090000000000001,140.06,178286,2020
Nguoi Oi Nguoi O Dung Ve (feat. Suboi),Đức Phúc,47,0.84,0.722,7,-6.27,1,0.0463,0.284,0.000225,0.11599999999999999,0.49700000000000005,107.00299999999999,199907,2020
MOT NGUOI VI EM,Wean,48,0.62,0.5429999999999999,1,-6.313,1,0.4,0.138,0.0,0.135,0.528,110.648,210639,2020
