danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.614,0.719,5,-8.35,1,0.0304,0.117,0.0,0.0792,0.901,149.955,audio_features,734SuCJNSGwTFKadlw3MZ6,spotify:track:734SuCJNSGwTFKadlw3MZ6,https://api.spotify.com/v1/tracks/734SuCJNSGwTFKadlw3MZ6,https://api.spotify.com/v1/audio-analysis/734SuCJNSGwTFKadlw3MZ6,203260,4
0.512,0.456,0,-7.285,1,0.0328,0.773,0.0,0.154,0.163,122.886,audio_features,2LykruN1mQlg9nuUaE7dvQ,spotify:track:2LykruN1mQlg9nuUaE7dvQ,https://api.spotify.com/v1/tracks/2LykruN1mQlg9nuUaE7dvQ,https://api.spotify.com/v1/audio-analysis/2LykruN1mQlg9nuUaE7dvQ,254476,4
0.504,0.698,7,-6.958,1,0.0273,0.0248,0.00089,0.109,0.421,98.021,audio_features,1503Da6qbgNifRnRwIjtZe,spotify:track:1503Da6qbgNifRnRwIjtZe,https://api.spotify.com/v1/tracks/1503Da6qbgNifRnRwIjtZe,https://api.spotify.com/v1/audio-analysis/1503Da6qbgNifRnRwIjtZe,296500,4
0.653,0.403,0,-8.279,1,0.0577,0.743,0.0,0.141,0.398,80.056,audio_features,0Rx4GFPy8ISxPhRwkjl64b,spotify:track:0Rx4GFPy8ISxPhRwkjl64b,https://api.spotify.com/v1/tracks/0Rx4GFPy8ISxPhRwkjl64b,https://api.spotify.com/v1/audio-analysis/0Rx4GFPy8ISxPhRwkjl64b,216500,4
0.756,0.626,8,-8.639,1,0.0729,0.173,0.0,0.164,0.596,90.083,audio_features,7gxlKu5NBdbOHD5aHBAouf,spotify:track:7gxlKu5NBdbOHD5aHBAouf,https://api.spotify.com/v1/tracks/7gxlKu5NBdbOHD5aHBAouf,https://api.spotify.com/v1/audio-analysis/7gxlKu5NBdbOHD5aHBAouf,258785,4
0.68,0.841,7,-4.716,1,0.0311,0.00611,0.0,0.164,0.0762,98.001,audio_features,6jS9KdVErfIauI0XXX64sw,spotify:track:6jS9KdVErfIauI0XXX64sw,https://api.spotify.com/v1/tracks/6jS9KdVErfIauI0XXX64sw,https://api.spotify.com/v1/audio-analysis/6jS9KdVErfIauI0XXX64sw,228980,4
0.722,0.446,4,-11.652,1,0.0253,0.496,0.514,0.088,0.343,101.991,audio_features,42rme4MN6ki6mXgl4yaZtV,spotify:track:42rme4MN6ki6mXgl4yaZtV,https://api.spotify.com/v1/tracks/42rme4MN6ki6mXgl4yaZtV,https://api.spotify.com/v1/audio-analysis/42rme4MN6ki6mXgl4yaZtV,237250,4
0.728,0.806,2,-3.824,0,0.0504,0.423,0.0,0.0883,0.453,127.02,audio_features,4HlHNLtfxP7Y5z03j3eNOi,spotify:track:4HlHNLtfxP7Y5z03j3eNOi,https://api.spotify.com/v1/tracks/4HlHNLtfxP7Y5z03j3eNOi,https://api.spotify.com/v1/audio-analysis/4HlHNLtfxP7Y5z03j3eNOi,272508,4
0.625,0.665,11,-8.709,1,0.0336,0.00342,3.44e-05,0.0804,0.192,124.007,audio_features,1IyaXs95EqH8emANUrhRwH,spotify:track:1IyaXs95EqH8emANUrhRwH,https://api.spotify.com/v1/tracks/1IyaXs95EqH8emANUrhRwH,https://api.spotify.com/v1/audio-analysis/1IyaXs95EqH8emANUrhRwH,330968,4
0.639,0.873,9,-3.646,0,0.0399,0.331,0.0326,0.133,0.166,135.062,audio_features,4pWF7uyalOeveT6oansXmy,spotify:track:4pWF7uyalOeveT6oansXmy,https://api.spotify.com/v1/tracks/4pWF7uyalOeveT6oansXmy,https://api.spotify.com/v1/audio-analysis/4pWF7uyalOeveT6oansXmy,232889,4
0.764,0.51,2,-7.47,1,0.0757,0.542,0.0,0.112,0.616,105.024,audio_features,6jcG3yZ0e2CSI6omkYO1ut,spotify:track:6jcG3yZ0e2CSI6omkYO1ut,https://api.spotify.com/v1/tracks/6jcG3yZ0e2CSI6omkYO1ut,https://api.spotify.com/v1/audio-analysis/6jcG3yZ0e2CSI6omkYO1ut,178286,4
0.675,0.275,0,-12.446,0,0.0334,0.877,0.000277,0.161,0.255,116.105,audio_features,0GdrFeLGWjlEcAfoQEMXH5,spotify:track:0GdrFeLGWjlEcAfoQEMXH5,https://api.spotify.com/v1/tracks/0GdrFeLGWjlEcAfoQEMXH5,https://api.spotify.com/v1/audio-analysis/0GdrFeLGWjlEcAfoQEMXH5,250539,3
0.747,0.601,4,-8.134,1,0.0395,0.296,2.57e-05,0.0912,0.211,106.027,audio_features,0vB6E5gTZtnpodQCCW29JN,spotify:track:0vB6E5gTZtnpodQCCW29JN,https://api.spotify.com/v1/tracks/0vB6E5gTZtnpodQCCW29JN,https://api.spotify.com/v1/audio-analysis/0vB6E5gTZtnpodQCCW29JN,244000,4
0.525,0.434,4,-8.192,1,0.0542,0.538,0.0,0.308,0.493,97.153,audio_features,6ZW5dAY9FXiU1zDCDLpMA1,spotify:track:6ZW5dAY9FXiU1zDCDLpMA1,https://api.spotify.com/v1/tracks/6ZW5dAY9FXiU1zDCDLpMA1,https://api.spotify.com/v1/audio-analysis/6ZW5dAY9FXiU1zDCDLpMA1,190601,4
0.702,0.177,11,-17.406,1,0.0516,0.807,0.0,0.109,0.54,87.083,audio_features,4nwdFVU1yT5j9zTaTv1rxk,spotify:track:4nwdFVU1yT5j9zTaTv1rxk,https://api.spotify.com/v1/tracks/4nwdFVU1yT5j9zTaTv1rxk,https://api.spotify.com/v1/audio-analysis/4nwdFVU1yT5j9zTaTv1rxk,189335,4
0.787,0.652,5,-6.781,0,0.0655,0.239,8.3e-05,0.102,0.394,120.033,audio_features,4S0uLMXRoAjFfIJOW7A8aW,spotify:track:4S0uLMXRoAjFfIJOW7A8aW,https://api.spotify.com/v1/tracks/4S0uLMXRoAjFfIJOW7A8aW,https://api.spotify.com/v1/audio-analysis/4S0uLMXRoAjFfIJOW7A8aW,166000,4
0.669,0.403,2,-10.745,1,0.0659,0.538,2.22e-05,0.0949,0.111,105.01,audio_features,1AAGvzJRWMTKx7PNfeTvP4,spotify:track:1AAGvzJRWMTKx7PNfeTvP4,https://api.spotify.com/v1/tracks/1AAGvzJRWMTKx7PNfeTvP4,https://api.spotify.com/v1/audio-analysis/1AAGvzJRWMTKx7PNfeTvP4,242857,4
0.698,0.594,9,-6.137,0,0.0316,0.44,0.000233,0.225,0.359,122.066,audio_features,08ypyqiix2pzF6RmOfz7Eq,spotify:track:08ypyqiix2pzF6RmOfz7Eq,https://api.spotify.com/v1/tracks/08ypyqiix2pzF6RmOfz7Eq,https://api.spotify.com/v1/audio-analysis/08ypyqiix2pzF6RmOfz7Eq,197740,4
0.815,0.641,9,-2.669,1,0.0361,0.00907,3.01e-06,0.105,0.66,113.001,audio_features,3hIM9i6CkNDgvh0SbIgss2,spotify:track:3hIM9i6CkNDgvh0SbIgss2,https://api.spotify.com/v1/tracks/3hIM9i6CkNDgvh0SbIgss2,https://api.spotify.com/v1/audio-analysis/3hIM9i6CkNDgvh0SbIgss2,190088,4
0.724,0.454,0,-7.508,1,0.0662,0.715,2.61e-06,0.0512,0.456,133.893,audio_features,3HXc9xqPIT3GzotV1eaVKa,spotify:track:3HXc9xqPIT3GzotV1eaVKa,https://api.spotify.com/v1/tracks/3HXc9xqPIT3GzotV1eaVKa,https://api.spotify.com/v1/audio-analysis/3HXc9xqPIT3GzotV1eaVKa,237640,4
0.42,0.649,9,-7.355,1,0.0353,0.596,0.0,0.0993,0.339,147.845,audio_features,5fwuv9EtfAfJScjWcuBb6C,spotify:track:5fwuv9EtfAfJScjWcuBb6C,https://api.spotify.com/v1/tracks/5fwuv9EtfAfJScjWcuBb6C,https://api.spotify.com/v1/audio-analysis/5fwuv9EtfAfJScjWcuBb6C,244574,3
